j.journal,year,impact
IBM Research Report,1972,174
Commun. ACM,1970,89
ACM Trans. Database Syst.,1976,83
Acta Inf.,1972,56
BIT,1978,56
ACM Trans. Database Syst.,1979,50
ACM Comput. Surv.,1986,48
"IBM Research Report, San Jose, California",1971,48
ACM Trans. Database Syst.,1977,45
ACM Comput. Surv.,1987,41
ACM Comput. Surv.,1990,41
ACM Comput. Surv.,1984,40
ACM Trans. Database Syst.,1981,35
ACM Comput. Surv.,1993,33
ACM Comput. Surv.,1981,30
ACM Comput. Surv.,1979,28
ACM Trans. Inf. Syst.,1987,28
ACM Trans. Database Syst.,1984,26
ACM Trans. Database Syst.,1987,26
ACM Trans. Database Syst.,1980,25
New Generation Comput.,1983,25
SIGPLAN Notices,1974,25
J. ACM,1984,24
ACM Trans. Math. Softw.,1985,23
ACM Comput. Surv.,1988,22
ACM Trans. Database Syst.,1985,22
ACM Comput. Surv.,1985,21
IEEE Trans. Knowl. Data Eng.,1990,21
ACM Comput. Surv.,1983,20
ACM Trans. Comput. Syst.,1983,19
ACM Trans. Database Syst.,1982,19
ACM Trans. Database Syst.,1988,19
Advances in Computers,1970,19
IBM Systems Journal,1977,19
ACM Trans. Database Syst.,1983,18
Proceedings of the IEEE,1979,17
ACM Comput. Surv.,1972,16
ACM Trans. Database Syst.,1986,16
Comput. Lang.,1979,16
Operating Systems Review,1982,16
SIAM J. Comput.,1979,16
ACM Trans. Database Syst.,1978,15
ACM Trans. Database Syst.,1992,15
Commun. ACM,1976,15
J. ACM,1982,15
J. Comput. Syst. Sci.,1980,15
J. Comput. Syst. Sci.,1982,15
ACM Trans. Database Syst.,1990,14
IEEE Computer,1986,14
Inf. Sci.,1983,14
Information and Control,1965,14
J. ACM,1983,14
Acta Inf.,1982,13
Commun. ACM,1975,13
Inf. Syst.,1986,13
J. ACM,1980,13
ACM Trans. Database Syst.,1989,12
Data Knowl. Eng.,1985,12
J. Log. Program.,1985,12
ACM Comput. Surv.,1998,11
Acta Inf.,1977,11
IEEE Database Eng. Bull.,1986,11
IEEE Trans. Information Theory,1977,11
IEEE Trans. Software Eng.,1979,11
Inf. Comput.,1988,11
Int. J. Cooperative Inf. Syst.,1993,11
Int. J. on Digital Libraries,1997,11
J. ACM,1979,11
J. ACM,1981,11
Machine Learning,1986,11
"Softw., Pract. Exper.",1985,11
ACM Trans. Database Syst.,1991,10
ACM Trans. Inf. Syst.,1990,10
Artif. Intell.,1982,10
Cognitive Science,1985,10
Commun. ACM,1991,10
IBM Systems Journal,1966,10
IBM Systems Journal,1973,10
IBM Systems Journal,1984,10
IEEE Trans. Computers,1969,10
Inf. Process. Manage.,1988,10
J. ACM,1989,10
J. Comput. Syst. Sci.,1984,10
J. Comput. Syst. Sci.,1986,10
J. Comput. Syst. Sci.,1991,10
J. Log. Program.,1987,10
SIGACT News,1990,10
"Technical Rep. UKSC 0060, IBM United Kingdom Scientific Centre",1974,10
VLDB J.,1995,10
ACM Comput. Surv.,1992,9
ACM Trans. Comput. Syst.,1984,9
ACM Trans. Inf. Syst.,1983,9
Acta Inf.,1974,9
Artif. Intell.,1979,9
Commun. ACM,1977,9
"Electronic Networking: Research, Applications and Policy",1992,9
IBM Journal of Research and Development,1976,9
IEEE Trans. Information Theory,1978,9
Int. J. Cooperative Inf. Syst.,1992,9
Mathematical Systems Theory,1968,9
Perform. Eval.,1987,9
SIAM Journal of Applied Mathematics,1969,9
SIGACT News,1989,9
SIGMOD Record,1986,9
Sci. Comput. Program.,1987,9
VLDB J.,1992,9
ACM Comput. Surv.,1991,8
ACM Trans. Comput. Syst.,1986,8
ACM Trans. Database Syst.,1994,8
Advances in Computing Research,1986,8
Commun. ACM,1981,8
Distributed and Parallel Databases,1995,8
IEEE Trans. Computers,1988,8
IEEE Trans. Information Theory,1969,8
International Journal of Geographical Information Systems,1991,8
International Journal of Parallel Programming,1988,8
J. ACM,1988,8
J. ACM,1995,8
J. Comput. Syst. Sci.,1985,8
J. Intell. Inf. Syst.,1994,8
New Generation Comput.,1986,8
SIAM J. Comput.,1981,8
SIGMOD Record,1988,8
SIGMOD Record,1989,8
ACM Comput. Surv.,1978,7
ACM Trans. Database Syst.,1993,7
ACM Trans. Inf. Syst.,1985,7
ACM Trans. Inf. Syst.,1989,7
Acta Inf.,1971,7
Artif. Intell.,1980,7
Distributed and Parallel Databases,1993,7
Fundam. Inform.,1980,7
IEEE Data Eng. Bull.,1995,7
IEEE Trans. Knowl. Data Eng.,1989,7
IEEE Trans. Software Eng.,1983,7
IEEE Trans. Software Eng.,1984,7
IEEE Trans. Software Eng.,1988,7
Inf. Sci.,1988,7
Inf. Sci.,1989,7
Inf. Syst.,1978,7
Information and Control,1983,7
Information and Control,1986,7
J. ACM,1962,7
J. ACM,1965,7
J. ACM,1969,7
J. ACM,1976,7
J. ACM,1991,7
J. Comput. Syst. Sci.,1978,7
J. Comput. Syst. Sci.,1990,7
J. Log. Program.,1991,7
SIAM J. Comput.,1972,7
SIGMOD Record,1982,7
SIGMOD Record,1990,7
SIGMOD Record,1997,7
Theor. Comput. Sci.,1976,7
VLDB J.,1994,7
ACM Comput. Surv.,1971,6
ACM Comput. Surv.,1976,6
ACM Comput. Surv.,1982,6
ACM Comput. Surv.,1994,6
ACM Trans. Comput. Syst.,1992,6
ACM Trans. Inf. Syst.,1984,6
ACM Trans. Math. Softw.,1977,6
Acta Inf.,1978,6
Acta Inf.,1994,6
Algorithmica,1988,6
Cognitive Science,1977,6
Commun. ACM,1978,6
Commun. ACM,1983,6
Comput. J.,1962,6
Comput. J.,1973,6
Comput. J.,1983,6
IEEE Computer,1992,6
IEEE Software,1985,6
IEEE Trans. Computers,1986,6
IEEE Trans. Software Eng.,1982,6
Inf. Comput.,1991,6
Inf. Process. Lett.,1976,6
Inf. Sci.,1985,6
Inf. Syst.,1982,6
Inf. Syst.,1983,6
Inf. Syst.,1987,6
Inf. Syst.,1988,6
J. Autom. Reasoning,1985,6
J. Comput. Syst. Sci.,1995,6
J. Log. Program.,1986,6
JASIS,1990,6
Operating Systems Review,1980,6
SIAM J. Comput.,1984,6
SIGMOD Record,1984,6
Theor. Comput. Sci.,1982,6
World Wide Web Journal,1997,6
ACM Comput. Surv.,1977,5
ACM Comput. Surv.,1980,5
ACM Trans. Comput. Syst.,1985,5
ACM Trans. Comput. Syst.,1988,5
ACM Trans. Inf. Syst.,1988,5
ACM Trans. Program. Lang. Syst.,1989,5
Acta Inf.,1980,5
Acta Inf.,1991,5